country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Bosnia and Herzegovina,5.410788898000001,1.0548738753333335,1.0526836071111112,0.7036204993333334,0.2797032131111111,0.26342697099999995,0.0031602763333333336,5.410788898000001,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Botswana,3.6668777764444442,1.1487170167777778,1.0225277538888888,0.3214596935555556,0.5057917492222221,0.05429065944444446,0.0984221741111111,3.6668777764444433,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Brazil,6.490288898888888,1.1180903425555555,1.2464466802222225,0.6382046017777778,0.4796096084444445,0.13450272033333333,0.12183126277777775,6.4902888988888865,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Bulgaria,4.921944473222222,1.2133593081111114,1.2921687084444444,0.676504953,0.3899013093333333,0.10701682299999998,0.008657947888888889,4.921944473222222,5.444338486093167,5.589284174912879,5.444338486093167,Not happy
Burkina Faso,4.364411131999999,0.4207517064444445,0.8287873227777778,0.2503220148888889,0.3471551118888889,0.20069503266666666,0.12248735122222223,4.364411132,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Burundi,3.2778999995714284,0.044604652714285715,0.40280840785714284,0.21546480385714287,0.15428568742857143,0.184143853,0.13702068185714283,3.2778999995714284,5.4144328365574514,4.260601786360067,5.4144328365574514,Not happy
Cambodia,4.4153778152222225,0.6592022259999999,0.8765027083333333,0.4846408597777779,0.6749217967777777,0.2740272276666667,0.06681482811111111,4.4153778152222225,5.444338486093167,5.37134784239352,5.444338486093167,Not happy
Cameroon,4.858544452666667,0.6195259345555555,0.8065371854444445,0.20789796333333335,0.4280090256666667,0.19314428422222227,0.055091116999999995,4.858544452666667,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Canada,7.230455555,1.4951435643333333,1.3431612104444446,0.8496988441111112,0.629088782111111,0.32339096022222225,0.32754815244444446,7.230455555,5.444338486093167,7.176058332472222,5.444338486093167,Happy
Central African Republic,3.2025800026,0.0339144164,0.0,0.04015253719999999,0.3164893018,0.2451479408,0.0481439588,3.2025800026,5.397201243270375,4.238663845933334,5.397201243270374,Not happy
Chad,4.160300004111111,0.41681894177777773,0.7310415722222222,0.09457986833333333,0.21444708844444443,0.20316099311111113,0.06983858777777778,4.160300004111111,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Chile,6.428166648777779,1.2732919003333332,1.1941835383333332,0.7834600591111112,0.4272875006666667,0.21442460244444445,0.08003748133333331,6.428166648777776,5.444338486093167,5.9905635228708,5.444338486093167,Happy
China,5.328988855555555,1.120735467,1.0324975651111112,0.7434282262222223,0.5674980916666666,0.07036309833333333,0.08914553655555556,5.328988855555552,5.444338486093167,5.732149987592592,5.444338486093167,Moderately happy
